date,kr_base_rate,kr_cpi,kr_mortgage_rate,kr_m2,kr_gdp
2024-07,3.5,114.13,3.5,3823839.5,0.1
2024-08,3.5,114.54,3.51,3834303.6,
2024-09,3.5,114.65,3.74,3850412.1,
2024-10,3.25,114.69,4.05,3857079.5,0.1
2024-11,3.0,114.4,4.3,3877862.7,
2024-12,3.0,114.91,4.25,3900070.9,
2025-01,3.0,115.71,4.27,3923921.4,-0.2
2025-02,2.75,116.08,4.23,3930083.5,
2025-03,2.75,116.29,4.17,3914432.4,
2025-04,2.75,116.38,3.98,3930054.0,0.7
2025-05,2.5,116.27,3.87,3955598.2,
2025-06,2.5,116.31,3.93,3975331.0,
2025-07,2.5,116.52,3.96,3994033.3,1.3
2025-08,2.5,116.45,3.96,4038516.1,
2025-09,2.5,117.06,3.96,4059768.7,
2025-10,2.5,117.42,3.98,4057900.5,-0.2
2025-11,2.5,117.2,4.17,4062260.6,
2025-12,2.5,117.57,4.23,4081265.9,
2026-01,2.5,118.03,4.29,4113407.1,1.7
2026-02,2.5,118.4,4.32,4113983.8,
2026-03,2.5,118.8,4.34,,
2026-04,2.5,119.37,,,
